,gender_F,gender_M,gender_O,age,income,user_id,became_member_year,total_amt
108,1,0,0,97,65404.9915682968,109,2016,2.33
109,0,1,0,76,63000.0,110,2016,20.13
110,0,1,0,52,78000.0,111,2017,12.57
111,0,1,0,55,31000.0,112,2017,5.85
112,1,0,0,39,60000.0,113,2017,16.51
113,1,0,0,45,44000.0,114,2016,4.89
114,1,0,0,57,114000.0,115,2017,17.99
115,0,1,0,74,48000.0,116,2018,2.66
116,0,1,0,18,47000.0,117,2016,10.07
117,0,1,0,53,96000.0,118,2017,38.57
118,1,0,0,59,98000.0,119,2017,35.11
119,0,1,0,57,46000.0,120,2014,8.68
120,1,0,0,51,56000.0,121,2017,3.59
121,0,0,1,40,65404.9915682968,122,2015,0.29
122,0,1,0,52,65404.9915682968,123,2017,0.41000000000000003
123,1,0,0,64,37000.0,124,2017,7.45
124,0,1,0,71,57000.0,125,2017,2.9699999999999998
125,1,0,0,64,66000.0,126,2017,10.42
126,0,1,0,83,46000.0,127,2018,3.37
127,0,1,0,26,71000.0,128,2017,1.82
128,0,1,0,82,65404.9915682968,129,2016,2.58
129,1,0,0,29,58000.0,130,2018,1.24
130,0,1,0,43,70000.0,131,2017,2.03
131,1,0,0,89,65000.0,132,2018,16.99
132,1,0,0,49,79000.0,133,2018,12.27
133,0,1,0,79,67000.0,134,2016,23.25
134,1,0,0,55,94000.0,135,2017,28.1
135,0,1,0,55,66000.0,136,2017,8.96
136,0,1,0,45,31000.0,137,2017,1.97
137,0,1,0,52,30000.0,138,2018,1.88
138,0,1,0,39,55000.0,139,2016,13.22
139,0,1,0,77,69000.0,140,2018,23.95
140,0,1,0,66,60000.0,141,2018,3.66
141,1,0,0,69,87000.0,142,2017,19.1
142,0,1,0,74,53000.0,143,2014,7.57
143,0,1,0,32,65404.9915682968,144,2016,1.49
144,1,0,0,75,87000.0,145,2018,20.04
145,1,0,0,59,85000.0,146,2015,39.71
146,0,1,0,47,66000.0,147,2013,13.54
147,0,1,0,20,69000.0,148,2018,0.87
148,0,1,0,60,108000.0,149,2017,48.1
149,0,1,0,65,61000.0,150,2018,4.13
150,0,1,0,33,43000.0,151,2015,6.54
151,1,0,0,39,67000.0,152,2017,10.3
152,0,1,0,49,59000.0,153,2018,5.21
153,0,1,0,68,58000.0,154,2018,8.8
154,0,1,0,42,80000.0,155,2017,20.98
155,0,1,0,72,33000.0,156,2018,1.01
156,1,0,0,18,49000.0,157,2017,0.17
157,1,0,0,32,42000.0,158,2018,10.16
158,0,1,0,67,50000.0,159,2017,9.88
159,0,1,0,52,42000.0,160,2018,1.43
160,0,1,0,38,64000.0,161,2017,34.44
161,1,0,0,60,77000.0,162,2018,19.71
162,1,0,0,62,77000.0,163,2017,12.7
163,1,0,0,55,51000.0,164,2018,12.02
164,0,1,0,22,63000.0,165,2018,1.58
165,0,1,0,34,41000.0,166,2017,6.82
166,0,1,0,46,60000.0,167,2014,1.97
167,0,1,0,85,67000.0,168,2018,2.77
168,1,0,0,51,85000.0,169,2017,28.83
169,1,0,0,71,65404.9915682968,170,2015,2.54
170,1,0,0,53,85000.0,171,2016,20.96
171,0,1,0,51,92000.0,172,2016,32.37
172,1,0,0,66,65404.9915682968,173,2018,1.6099999999999999
173,0,1,0,48,44000.0,174,2015,7.86
174,0,1,0,52,72000.0,175,2018,21.36
175,0,1,0,48,65404.9915682968,176,2017,0.24
176,0,1,0,62,53000.0,177,2016,8.4
177,0,1,0,42,62000.0,178,2018,2.54
178,0,1,0,55,65000.0,179,2017,4.16
179,1,0,0,27,50000.0,180,2015,7.86
180,0,1,0,68,107000.0,181,2018,41.92
181,1,0,0,74,83000.0,182,2017,25.69
182,0,1,0,77,66000.0,183,2014,4.47
183,0,1,0,35,72000.0,184,2018,21.25
184,1,0,0,50,69000.0,185,2017,19.93
185,0,1,0,45,94000.0,186,2015,30.58
186,0,1,0,82,87000.0,187,2016,14.94
187,0,1,0,40,57000.0,188,2013,25.68
188,0,1,0,66,34000.0,189,2018,4.43
189,0,1,0,52,63000.0,190,2018,3.17
190,1,0,0,57,89000.0,191,2016,28.8
191,0,1,0,68,69000.0,192,2016,18.44
192,0,1,0,21,52000.0,193,2018,2.38
193,0,1,0,61,44000.0,194,2017,2.55
194,1,0,0,73,65404.9915682968,195,2016,0.37
195,1,0,0,58,54000.0,196,2018,1.1
196,1,0,0,67,54000.0,197,2018,0.55
197,0,1,0,24,61000.0,198,2017,16.84
198,1,0,0,30,65404.9915682968,199,2015,0.2
199,0,1,0,26,35000.0,200,2017,0.86
200,1,0,0,71,105000.0,201,2017,17.2
201,1,0,0,69,64000.0,202,2017,19.62
202,0,1,0,81,93000.0,203,2018,0.0
203,0,1,0,62,73000.0,204,2016,18.0
204,0,1,0,38,74000.0,205,2017,20.27
205,0,1,0,61,82000.0,206,2017,20.03
206,1,0,0,52,92000.0,207,2017,23.59
207,0,1,0,50,70000.0,208,2017,24.83
208,0,1,0,54,118000.0,209,2017,20.49
209,1,0,0,75,109000.0,210,2018,18.47
210,0,1,0,82,73000.0,211,2018,3.25
211,0,1,0,64,38000.0,212,2018,3.25
212,1,0,0,54,99000.0,213,2015,19.7
213,0,0,1,55,65404.9915682968,214,2018,0.1
214,0,1,0,82,72000.0,215,2018,3.44
215,0,1,0,59,65404.9915682968,216,2015,3.69
216,0,1,0,90,45000.0,217,2018,2.09
217,1,0,0,34,67000.0,218,2018,4.88
218,0,1,0,44,53000.0,219,2018,10.44
219,1,0,0,79,106000.0,220,2018,0.0
220,1,0,0,58,95000.0,221,2016,25.6
221,0,1,0,32,65404.9915682968,222,2018,2.21
222,1,0,0,47,74000.0,223,2016,15.72
223,1,0,0,60,59000.0,224,2017,6.0
224,0,1,0,83,54000.0,225,2017,17.38
225,1,0,0,74,103000.0,226,2018,0.0
226,0,1,0,89,101000.0,227,2015,33.35
227,0,1,0,68,62000.0,228,2016,16.84
228,1,0,0,63,110000.0,229,2017,26.04
229,1,0,0,40,51000.0,230,2018,5.71
230,1,0,0,79,99000.0,231,2017,21.19
231,0,1,0,71,30000.0,232,2018,0.65
232,1,0,0,76,114000.0,233,2015,22.24
233,0,1,0,89,96000.0,234,2016,18.13
234,0,1,0,63,36000.0,235,2017,0.18
235,1,0,0,48,65404.9915682968,236,2018,0.07
236,0,1,0,41,83000.0,237,2017,0.0
237,1,0,0,71,56000.0,238,2018,22.72
238,0,1,0,44,36000.0,239,2017,4.43
239,0,1,0,25,73000.0,240,2016,5.83
240,0,1,0,27,70000.0,241,2018,2.23
241,0,1,0,67,106000.0,242,2018,31.88
242,1,0,0,77,80000.0,243,2016,25.99
243,1,0,0,68,66000.0,244,2015,14.58
244,0,1,0,37,64000.0,245,2016,25.48
245,0,1,0,55,60000.0,246,2016,3.54
246,0,1,0,30,54000.0,247,2016,7.06
247,0,1,0,51,54000.0,248,2015,16.52
248,1,0,0,47,92000.0,249,2018,33.72
249,0,1,0,49,48000.0,250,2018,1.52
250,0,1,0,32,38000.0,251,2015,14.38
251,0,1,0,30,69000.0,252,2017,21.32
252,0,1,0,47,86000.0,253,2017,31.32
253,1,0,0,21,65404.9915682968,254,2017,3.05
254,0,1,0,34,34000.0,255,2017,7.06
255,1,0,0,78,101000.0,256,2017,34.9
256,1,0,0,85,71000.0,257,2016,18.19
257,1,0,0,75,69000.0,258,2013,16.46
258,1,0,0,76,71000.0,259,2017,13.65
259,1,0,0,89,59000.0,260,2015,12.95
260,0,1,0,58,70000.0,261,2018,1.9100000000000001
261,0,1,0,23,49000.0,262,2017,11.11
262,0,1,0,58,53000.0,263,2017,10.84
263,0,0,1,78,65404.9915682968,264,2017,0.0
264,1,0,0,64,95000.0,265,2015,28.78
265,0,1,0,72,39000.0,266,2017,14.67
266,1,0,0,66,72000.0,267,2017,18.35
267,1,0,0,49,68000.0,268,2017,3.94
268,0,1,0,43,71000.0,269,2017,17.2
269,0,1,0,58,39000.0,270,2018,0.51
270,0,1,0,43,76000.0,271,2017,22.87
271,1,0,0,56,87000.0,272,2017,15.96
272,1,0,0,69,118000.0,273,2017,30.76
273,0,0,1,60,94000.0,274,2018,37.1
274,0,1,0,81,70000.0,275,2016,15.14
275,0,1,0,42,91000.0,276,2017,22.43
276,0,1,0,75,71000.0,277,2015,2.27
277,0,1,0,62,73000.0,278,2018,3.27
278,1,0,0,55,54000.0,279,2016,24.65
279,0,1,0,65,39000.0,280,2017,18.29
280,0,1,0,52,46000.0,281,2017,0.37
281,1,0,0,30,40000.0,282,2017,19.22
282,1,0,0,74,75000.0,283,2015,15.7
283,1,0,0,100,63000.0,284,2015,14.75
284,1,0,0,26,40000.0,285,2017,13.71
285,1,0,0,56,53000.0,286,2016,9.41
286,0,1,0,50,90000.0,287,2014,24.44
287,0,1,0,73,95000.0,288,2017,23.81
288,1,0,0,49,74000.0,289,2017,27.5
289,0,1,0,37,50000.0,290,2016,4.09
290,0,1,0,65,57000.0,291,2016,12.34
291,1,0,0,64,81000.0,292,2016,17.74
292,1,0,0,48,53000.0,293,2016,10.62
293,0,1,0,20,32000.0,294,2015,4.18
294,0,1,0,60,65404.9915682968,295,2018,0.0
295,0,1,0,46,40000.0,296,2018,15.98
296,0,1,0,24,69000.0,297,2015,3.2
297,0,1,0,71,95000.0,298,2015,25.77
298,1,0,0,50,78000.0,299,2018,0.0
299,0,1,0,37,92000.0,300,2017,17.2
300,1,0,0,57,81000.0,301,2016,21.13
301,0,1,0,43,65404.9915682968,302,2017,0.8
302,0,1,0,52,85000.0,303,2014,12.0
303,0,1,0,41,41000.0,304,2016,0.92
304,1,0,0,66,74000.0,305,2017,16.75
305,1,0,0,66,87000.0,306,2015,25.85
306,1,0,0,68,120000.0,307,2017,27.24
307,0,1,0,20,70000.0,308,2016,3.15
308,0,1,0,43,42000.0,309,2017,1.37
309,0,1,0,73,38000.0,310,2017,4.93
310,0,0,1,61,65404.9915682968,311,2018,0.81
311,1,0,0,42,56000.0,312,2017,13.5
312,0,1,0,82,110000.0,313,2016,23.44
313,1,0,0,42,65404.9915682968,314,2018,1.51
314,1,0,0,70,92000.0,315,2017,19.56
315,1,0,0,42,71000.0,316,2017,21.6
316,0,1,0,48,62000.0,317,2015,13.55
317,1,0,0,53,93000.0,318,2015,26.89
318,0,1,0,64,67000.0,319,2018,0.0
319,0,1,0,79,90000.0,320,2018,12.65
320,0,1,0,51,55000.0,321,2016,0.42
321,1,0,0,45,88000.0,322,2018,0.0
322,1,0,0,48,105000.0,323,2016,24.7
323,1,0,0,48,65404.9915682968,324,2015,4.87
324,1,0,0,54,119000.0,325,2015,19.71
325,0,1,0,52,48000.0,326,2018,1.87
326,0,1,0,28,68000.0,327,2013,1.47
327,0,1,0,69,47000.0,328,2014,8.53
328,0,1,0,73,92000.0,329,2017,23.04
329,0,1,0,72,65404.9915682968,330,2017,0.0
330,1,0,0,67,71000.0,331,2017,24.28
331,1,0,0,76,34000.0,332,2018,0.45
332,1,0,0,55,53000.0,333,2015,16.81
333,1,0,0,89,83000.0,334,2018,28.22
334,1,0,0,77,65404.9915682968,335,2017,1.17
335,0,1,0,57,41000.0,336,2018,7.0
336,1,0,0,77,65404.9915682968,337,2016,1.42
337,1,0,0,54,70000.0,338,2018,9.77
338,0,0,1,53,65404.9915682968,339,2015,0.45
339,0,1,0,58,73000.0,340,2017,2.46
340,0,1,0,41,65404.9915682968,341,2017,6.52
341,0,1,0,49,39000.0,342,2017,3.07
342,1,0,0,73,79000.0,343,2018,20.1
343,1,0,0,58,76000.0,344,2017,31.76
344,0,1,0,51,70000.0,345,2017,4.93
345,0,1,0,74,78000.0,346,2016,23.35
346,0,1,0,53,95000.0,347,2015,29.18
347,0,1,0,61,32000.0,348,2018,2.62
348,0,0,1,72,65404.9915682968,349,2017,2.31
349,0,1,0,41,55000.0,350,2017,0.0
350,1,0,0,64,95000.0,351,2017,16.7
351,0,0,1,52,65404.9915682968,352,2016,0.54
352,0,1,0,52,65404.9915682968,353,2017,5.62
353,0,1,0,42,75000.0,354,2017,21.09
354,0,1,0,50,57000.0,355,2016,10.9
355,0,1,0,60,56000.0,356,2017,1.33
356,1,0,0,57,83000.0,357,2016,25.82
357,1,0,0,39,54000.0,358,2017,18.42
358,1,0,0,57,65404.9915682968,359,2017,0.31
359,1,0,0,57,67000.0,360,2016,14.77
360,0,1,0,57,71000.0,361,2017,12.26
361,0,1,0,68,51000.0,362,2016,0.98
362,1,0,0,83,114000.0,363,2015,34.12
363,1,0,0,35,72000.0,364,2018,14.32
364,1,0,0,90,72000.0,365,2018,16.42
365,0,1,0,56,72000.0,366,2018,1.3900000000000001
366,1,0,0,48,65404.9915682968,367,2018,2.7199999999999998
367,0,1,0,84,81000.0,368,2017,14.97
368,0,1,0,62,39000.0,369,2018,2.41
369,0,1,0,63,58000.0,370,2017,19.2
370,0,1,0,39,65404.9915682968,371,2017,2.85
371,0,1,0,67,56000.0,372,2016,9.52
372,1,0,0,68,50000.0,373,2017,20.49
373,0,1,0,55,73000.0,374,2017,8.87
374,1,0,0,59,65404.9915682968,375,2018,0.0
375,1,0,0,32,65404.9915682968,376,2017,3.84
376,1,0,0,24,59000.0,377,2017,30.91
377,0,1,0,40,39000.0,378,2017,1.22
378,0,1,0,83,61000.0,379,2018,1.77
379,1,0,0,86,65404.9915682968,380,2016,1.55
380,1,0,0,82,65404.9915682968,381,2016,0.97
381,1,0,0,63,41000.0,382,2017,0.47000000000000003
382,1,0,0,59,59000.0,383,2018,7.96
383,0,0,1,49,42000.0,384,2017,9.69
384,1,0,0,61,99000.0,385,2016,31.42
385,0,1,0,42,57000.0,386,2018,13.54
386,0,1,0,58,36000.0,387,2018,9.24
387,1,0,0,48,44000.0,388,2016,11.01
388,0,1,0,35,64000.0,389,2017,5.99
389,0,1,0,36,31000.0,390,2018,12.21
390,1,0,0,41,100000.0,391,2016,24.45
391,1,0,0,83,73000.0,392,2017,21.09
392,0,1,0,53,87000.0,393,2017,31.72
393,0,0,1,40,65404.9915682968,394,2015,0.17
394,1,0,0,53,97000.0,395,2016,18.05
395,1,0,0,80,48000.0,396,2018,10.84
396,0,1,0,25,66000.0,397,2015,0.32
397,0,1,0,63,119000.0,398,2015,38.15
398,1,0,0,63,66000.0,399,2016,11.56
399,1,0,0,56,109000.0,400,2018,19.17
400,0,1,0,43,59000.0,401,2017,2.08
401,1,0,0,58,58000.0,402,2016,2.63
402,0,1,0,59,59000.0,403,2017,14.46
403,0,1,0,49,104000.0,404,2018,15.8
404,1,0,0,63,70000.0,405,2017,3.33
405,0,1,0,42,94000.0,406,2015,16.26
406,1,0,0,52,57000.0,407,2018,4.12
407,1,0,0,57,37000.0,408,2018,223.07
408,1,0,0,56,59000.0,409,2017,15.69
409,0,1,0,80,87000.0,410,2017,24.83
410,0,1,0,43,52000.0,411,2016,23.01
411,0,1,0,54,70000.0,412,2017,4.5600000000000005
412,0,1,0,28,73000.0,413,2016,6.88
413,1,0,0,57,95000.0,414,2017,31.51
414,0,1,0,71,67000.0,415,2015,4.7
415,0,1,0,60,65404.9915682968,416,2017,0.05
416,1,0,0,64,112000.0,417,2018,32.74
417,0,1,0,20,49000.0,418,2014,3.26
418,0,0,1,65,65404.9915682968,419,2015,3.17
419,0,0,1,65,65404.9915682968,420,2015,2.02
420,1,0,0,36,58000.0,421,2017,13.89
421,1,0,0,45,99000.0,422,2016,21.46
422,0,1,0,71,65000.0,423,2014,1.43
423,0,1,0,67,89000.0,424,2018,16.64
424,1,0,0,72,81000.0,425,2016,17.5
425,0,1,0,51,100000.0,426,2018,24.7
426,0,0,1,46,65404.9915682968,427,2017,0.26
427,0,1,0,48,68000.0,428,2017,31.6
428,0,1,0,53,60000.0,429,2018,2.06
429,0,1,0,25,53000.0,430,2018,1.92
430,1,0,0,79,85000.0,431,2018,9.21
431,0,1,0,19,32000.0,432,2018,1.31
432,1,0,0,28,49000.0,433,2018,0.56
433,0,1,0,56,76000.0,434,2014,16.96
434,0,1,0,44,37000.0,435,2014,3.95
435,0,1,0,25,40000.0,436,2017,0.38
436,1,0,0,61,78000.0,437,2018,13.49
437,0,1,0,34,59000.0,438,2017,0.78
438,1,0,0,41,37000.0,439,2017,9.23
439,0,1,0,44,51000.0,440,2016,5.0
440,1,0,0,51,92000.0,441,2018,10.77
441,0,1,0,47,44000.0,442,2017,1.33
442,1,0,0,63,70000.0,443,2018,18.27
443,0,1,0,62,61000.0,444,2017,22.08
444,0,1,0,66,71000.0,445,2018,3.63
445,0,1,0,62,70000.0,446,2017,13.38
446,0,1,0,83,88000.0,447,2016,35.59
447,0,1,0,43,58000.0,448,2018,11.64
448,1,0,0,66,94000.0,449,2016,20.42
449,0,1,0,70,44000.0,450,2017,2.77
450,1,0,0,65,66000.0,451,2018,14.38
451,1,0,0,33,54000.0,452,2016,9.04
452,0,1,0,63,78000.0,453,2018,20.86
453,0,1,0,77,42000.0,454,2017,0.76
454,1,0,0,49,57000.0,455,2017,7.83
455,0,1,0,53,104000.0,456,2017,17.08
456,1,0,0,61,87000.0,457,2016,31.25
457,0,1,0,60,38000.0,458,2015,14.33
458,1,0,0,55,65404.9915682968,459,2015,1.35
459,1,0,0,44,60000.0,460,2017,13.37
460,0,1,0,69,62000.0,461,2015,16.38
461,0,1,0,39,71000.0,462,2018,3.44
462,1,0,0,38,55000.0,463,2015,0.64
463,1,0,0,83,99000.0,464,2017,33.94
464,1,0,0,63,94000.0,465,2016,17.69
465,1,0,0,41,41000.0,466,2015,5.87
466,0,1,0,54,39000.0,467,2017,4.72
467,1,0,0,50,65404.9915682968,468,2018,0.24
468,0,1,0,41,55000.0,469,2018,12.44
469,1,0,0,41,65404.9915682968,470,2016,3.9
470,0,0,1,67,65404.9915682968,471,2017,0.05
471,1,0,0,56,69000.0,472,2017,5.07
472,1,0,0,85,65404.9915682968,473,2017,1.67
473,0,1,0,50,98000.0,474,2018,26.7
474,0,1,0,58,55000.0,475,2015,9.48
475,0,1,0,39,61000.0,476,2017,2.96
476,1,0,0,60,55000.0,477,2017,15.35
477,1,0,0,60,74000.0,478,2016,21.39
478,0,1,0,24,38000.0,479,2018,2.92
479,0,1,0,48,57000.0,480,2016,7.3
480,0,1,0,50,110000.0,481,2018,38.23
481,1,0,0,41,67000.0,482,2017,1.01
482,0,1,0,45,84000.0,483,2015,15.9
483,0,1,0,48,93000.0,484,2016,16.58
484,0,1,0,59,87000.0,485,2018,15.12
485,0,1,0,43,45000.0,486,2018,2.24
486,1,0,0,56,67000.0,487,2017,17.77
487,0,1,0,54,93000.0,488,2016,16.18
488,1,0,0,48,47000.0,489,2018,7.4
489,1,0,0,57,65404.9915682968,490,2018,2.31
490,0,1,0,59,65404.9915682968,491,2015,2.47
491,0,1,0,30,65404.9915682968,492,2017,3.3
492,0,1,0,63,49000.0,493,2017,1.2
493,0,0,1,35,65404.9915682968,494,2015,3.03
494,0,1,0,47,35000.0,495,2017,0.13
495,0,1,0,52,56000.0,496,2016,1.18
496,1,0,0,58,78000.0,497,2016,17.19
497,0,1,0,78,39000.0,498,2015,0.59
498,0,1,0,43,40000.0,499,2014,0.9500000000000001
499,0,1,0,68,61000.0,500,2017,2.35
500,0,1,0,18,48000.0,501,2015,0.6000000000000001
501,1,0,0,39,85000.0,502,2016,19.48
502,0,1,0,74,99000.0,503,2018,31.33
503,1,0,0,53,98000.0,504,2017,23.33
504,1,0,0,61,67000.0,505,2015,23.74
505,0,1,0,23,54000.0,506,2018,3.03
506,0,1,0,46,55000.0,507,2017,8.37
507,0,1,0,51,78000.0,508,2017,25.37
508,0,1,0,77,86000.0,509,2018,19.64
509,1,0,0,79,91000.0,510,2017,22.72
510,0,1,0,41,41000.0,511,2015,2.64
511,1,0,0,60,78000.0,512,2016,16.26
512,1,0,0,54,47000.0,513,2017,9.54
513,0,0,1,63,89000.0,514,2015,18.19
514,0,1,0,73,76000.0,515,2018,8.33
515,0,1,0,47,77000.0,516,2018,19.14
516,0,1,0,84,82000.0,517,2016,12.21
517,0,0,1,46,65404.9915682968,518,2018,6.1
518,0,1,0,20,56000.0,519,2017,1.99
519,1,0,0,24,35000.0,520,2015,1.06
520,1,0,0,58,71000.0,521,2017,21.51
521,0,1,0,35,40000.0,522,2017,0.8200000000000001
522,1,0,0,86,65404.9915682968,523,2017,0.43
523,0,1,0,57,33000.0,524,2017,1.28
524,0,1,0,87,55000.0,525,2015,6.85
525,1,0,0,86,84000.0,526,2015,28.38
526,1,0,0,57,100000.0,527,2018,19.77
527,0,1,0,61,112000.0,528,2017,24.92
528,0,1,0,25,53000.0,529,2017,0.67
529,0,1,0,38,31000.0,530,2015,1.55
530,0,1,0,94,50000.0,531,2014,5.39
531,0,1,0,59,61000.0,532,2015,18.27
532,1,0,0,49,73000.0,533,2017,0.0
533,1,0,0,61,72000.0,534,2016,10.45
534,1,0,0,35,65404.9915682968,535,2017,1.9300000000000002
535,0,1,0,31,64000.0,536,2017,5.92
536,1,0,0,75,53000.0,537,2017,19.87
537,0,0,1,52,65404.9915682968,538,2017,0.1
538,0,1,0,63,65404.9915682968,539,2015,1.67
539,0,1,0,51,65000.0,540,2018,8.47
540,0,1,0,68,74000.0,541,2017,19.61
541,0,1,0,86,71000.0,542,2018,6.45
542,1,0,0,62,117000.0,543,2018,28.56
543,0,1,0,61,64000.0,544,2018,4.69
544,1,0,0,64,65404.9915682968,545,2018,0.4
545,1,0,0,63,57000.0,546,2018,1.77
546,1,0,0,26,52000.0,547,2017,21.03
547,1,0,0,50,77000.0,548,2015,27.78
548,0,0,1,82,65404.9915682968,549,2017,0.13
549,1,0,0,45,93000.0,550,2017,19.89
550,1,0,0,88,64000.0,551,2016,11.13
551,1,0,0,50,92000.0,552,2017,15.44
552,1,0,0,65,119000.0,553,2017,26.17
553,1,0,0,58,65404.9915682968,554,2015,0.14
554,0,1,0,55,76000.0,555,2017,8.42
555,0,1,0,71,95000.0,556,2016,17.97
556,1,0,0,34,46000.0,557,2015,2.5700000000000003
557,0,1,0,81,65000.0,558,2017,5.28
558,0,0,1,45,65404.9915682968,559,2018,6.32
559,1,0,0,65,98000.0,560,2013,31.97
560,1,0,0,60,65404.9915682968,561,2016,1.79
561,1,0,0,80,65404.9915682968,562,2016,4.04
562,1,0,0,63,62000.0,563,2018,12.65
563,0,1,0,73,58000.0,564,2016,10.92
564,1,0,0,84,77000.0,565,2018,30.24
565,0,0,1,58,65404.9915682968,566,2017,2.27
